Authors,Title,Publication year,Abstract,Keywords
"Zaman SM,Paul SK,Paul RR,Hamid ME",Detecting Diabetes in Human Body using Different Machine Learning Techniques,2021,"One of the most widespread and chronic diseases in our world today is diabetes. Human suffers from an increased amount of blood glucose in the body caused due to inadequate insulin production. Early detection of diabetes is thus now become a must to combat and take preventive actions against the potential risks of this disease. In this paper, we present a methodology for the classification of diabetics using different machine learning models (Decision Tree, K-Nearest Neighbors, Naïve Bayes, Random Forest) to analyze diabetes patients and detect diabetes in human bodies. The proposed methodology is evaluated on Diabetes Dataset namely Pima Indians Diabetes (PIMA) Dataset. Initially, we apply the different preprocessing techniques to prepare data for the experiment. The extracted training data are passed through each model. For measuring the performance of the classifiers, we apply the measurements of sensitivity, precision, f1-score, and overall accuracy. However, in the experiment, we see that the Random Forest model is achieved the highest score with an accuracy of 86%. We hope that these classification techniques as per our study can be combined with real-time data with the help of the 'Internet of Things' to make real-time devices for health care applications. © 2021 IEEE.","Classification (of information); Decision trees; Machine learning; Nearest neighbor search, Blood glucose; Chronic disease; Human bodies; Machine learning models; Machine learning techniques; Machine-learning; Modeling (decision tree); PIMA dataset; Potential risks; Preventive action, Insulin"
"Monteiro CA,De Paula Neto FM",Diabetes Prediction Using Quantum Neurons with Preprocessing Based on Hypercomplex Numbers,2021,"The use of properties that are intrinsic to quantum mechanics has made it possible to build quantum algorithms with greater efficiency than classical algorithms to solve problems whose classically efficient solution either does not exist or is not known. There are quantum neurons that can carry an exponential amount of information to a linear number of quantum information units (qubits) using the quantum property of superposition. In this paper, we compare the performance of three of these quantum neuron models applied to the diabetes classification problem. We also propose the use of different data preprocessing strategies. Quantum neurons were simulated using the IBM Qiskit tool. We compare the preprocessing approaches applied to two toy problems (1) simulating the XOR operator and (2) solving a generic nonlinear problem. The results of the experiments shows that a single quantum neuron is capable of achieving an accuracy rate of 100% in the XOR problem and an accuracy rate of 100% in a non-linear dataset, demonstrating that the quantum neurons with real weights are capable of modeling non-linearly separable problems. In the problem of diagnosing diabetes, quantum neurons achieved an accuracy rate of 76% and AUC-ROC of 88%, while its classic version, the perceptron, reached only 63% accuracy and the artificial neural network reached 80% AUC-ROC. These results indicate that a single quantum neuron performs better than its classical version and even the artificial neural network for AUC-ROC, demonstrating potential for use in healthcare applications in the near future. © 2021 IEEE.","Learning algorithms; Machine learning; Neural networks; Neurons; Quantum efficiency; Quantum optics, Accuracy rate; Diabetes prediction; Hypercomplex number; Machine-learning; Quantum Computing; Quantum machine learning; Quantum machines; Quantum neuron; Single quantum, Health care"
"Jian Y,Pasquier M,Sagahyroon A,Aloul F",Using Machine Learning to Predict Diabetes Complications,2021,"Diabetes Mellitus (DM) is a chronic disease that is considered to be life threatening. It can affect any part of the body over time, resulting in more serious complications such as Dyslipidemia, Neuropathy and Retinopathy. In this work, different supervised classification algorithms were applied to build several models to predict and diagnose eight diabetes complications. The complications include: Metabolic Syndrome, Dyslipidemia, Neuropathy, Nephropathy, Diabetic Foot, Hypertension, Obesity, and Retinopathy. For this study, a dataset collected by the Rashid Centre for Diabetes and Research (RCDR) located in Ajman, UAE, was utilized. The dataset contains 884 records with 79 features. Some essential preprocessing steps were applied to handle the missing values and unbalanced data problems. Multiple solutions were tested and evaluated. © 2021 IEEE.","Eye protection; Supervised learning, Chronic disease; Classification algorithm; Diabetes complication; Diabetes mellitus; Diabetes prediction; Diabetic retinopathy; Dyslipidemias; Machine-learning; Metabolic syndromes; Supervised classification, Forecasting"
"Swain D,Bijawe SS,Akolkar PP,Shinde A,Mahajani MV",Diabetic retinopathy using image processing and deep learning,2021,"Diabetic retinopathy is one of the most non-uniform and confront regions to diagnose as it is exceptionally perplexing. In the circle of retinopathy, the number of times intensive assessments are required to be done to determine upon the diabetes mellitus or blindness that patient might be facing. Various professionals may take different amount of time to recognise diabetic retinopathy. So, a framework is required that can effectively and precisely analyse the retinal conditions with no of such limitations. This paper presents a two- stage method to effectively predict the level grading of diabetic retinopathy. The first stage involves preprocessing the retinal image and reducing the noise from an image. The second stage involves building a convolutional neural network architecture for predicting diabetic retinopathy level. It is a hurdle of diabetes that can affect the retinal nervous and lead to total or partial loss of vision. © 2021 Inderscience Enterprises Ltd.","Convolution; Convolutional neural networks; Deep learning; Diagnosis; Eye protection; Grading; Image processing; K-means clustering; Network architecture; Ophthalmology, CNN; Convolutional neural network; Deep learning; Diabetic retinopathy; Disease diagnosis; Gaussian blur; Gaussian blur filter; Images processing; K-means++ clustering; Machine intervention; Softmax, Gabor filters"
"Umasha HE,Ranaweera RD,Wijayakulasooriya JV",A Customized Preprocessing Framework for Ayurvedic Nadi Signals,2021,"Nadi pulse sensed at the radial artery of a human wrist is a rich source of information not just on the heart but also on many internal organs, hence being ideal for disease diagnosis. Still, it easily gets distorted by many noise artifacts from physiological movements, noise added by hardware circuitry used in the signal acquisition, and other electromagnetic interference in the surrounding. Thus, it is essential to develop a preprocessing framework that can effectively remove these artifacts prior to signal analysis. In this paper, we propose an efficient and effective five-stage preprocessing method for Nadi. Then using the features extracted from preprocessed Nadi, an experiment on diabetes diagnosis gave 88.9 % accuracy proving the proposed preprocessing method to be effective on Nadi. © 2021 IEEE.","Diagnosis; Signal processing, Diabetes diagnosis; Disease diagnosis; Internal organs; Nadi; Pre-processing method; Preprocessing; Pulse segmentation; Radial artery; Sources of informations; Wrist pulse, Electromagnetic pulse"
"Paradisa RH,Bustamam A,Victor AA,Yudantha AR,Sarwinda D",Diabetic Retinopathy Detection using Deep Convolutional Neural Network with Visualization of Guided Grad-CA,2021,"One of the complications of diabetes that represents a serious threat to world health is Diabetic Retinopathy (DR). High blood sugar levels in people with diabetes can damage the blood vessels in the retina and causing blindness. DR can be detected by examining the fundus image by an ophthalmologist. However, the limited number of ophthalmologists who can analyze fundus image is an obstacle because the number of DR sufferers continues to increase. Therefore, an automated system is needed to help doctors diagnose the disease. Researchers have developed deep learning techniques as Artificial Intelligence (AI) approach to finding DR in fundus images. In this research, we use the Deep Convolutional Neural Networks method with InceptionV3 structure and various optimizers such as the Stochastic Gradient Descent with Momentum (SGDM), Root Mean Square Propagation (RMSprop), and Adaptive Moment Estimation (Adam). The fundus image dataset previously through the augmentation and preprocessing steps to make it easier for the model to recognize the image. The InceptionV3 model with the Adam optimizer gave the best results in detecting DR lesions from the Kaggle dataset with 96% accuracy. This paper also presents a Grad-CAM guided activation map that can describe the position of the suspicious lesion to explain the results of DR detection. © 2021 IEEE.","Backpropagation; Blood vessels; Convolution; Convolutional neural networks; Eye protection; Gradient methods; Health risks; Image segmentation; Optimization; Stochastic systems, Automated systems; Blood sugar levels; Diabetic retinopathy; Fundus image; Guided grad-cam; Learning techniques; Moment estimation; Neural network method; Optimizers; Stochastic gradient descent, Deep neural networks"
"Sagi SL,Narsapuram M,Nakarikanti P,Sane S,Vadisina SS,Uddagiri C",Comparative Analysis of Data Preparation Methods Employed in Prediction of Diabetes Mellitus Diagnosis using eICU-CRD Dataset,2021,"In any classification system it's necessary to preprocess the source data in order to draw useful insights. In this paper, two different preprocessing approaches on WiDS Datathon 2021 Data were compared and analyzed deeply to account for the difference between resultant prediction accuracies.A comparative analysis was conducted on the preprocessing steps of both the approaches The steps applied are but not limited to - handling missing values, Feature scaling, Standardization, etc. in the process of determining whether a patient has been diagnosed with Diabetes Mellitus before. The readings in the first 24 hours from the patient's stay in ICU were used here and all the readings were acquired through invasive and noninvasive methods. LightGBM Classifier was used for the purpose of classifying the target variable.An attempt to determine the probability that a patient who is admitted to an ICU has been diagnosed with Diabetes Mellitus was made using two approaches with different machine learning pipelines. The first pipeline resulted in an accuracy score of 0.87242 and the second one gave a score of 0.86471. The boosting algorithms used in both the methods were the same but due to the differences in the missing values handling techniques and feature engineering steps, their prediction accuracies were different. © 2021 IEEE.","Classification (of information); Computer aided diagnosis; Forecasting; Pipelines, Analysis of data; Comparative analyzes; Cross validation; Data preprocessing; Diabetes mellitus; EICU-CRD dataset; Feature engineerings; Lightgbm classifier; MIT GOSSIS; Prediction accuracy, Noninvasive medical procedures"
"Kibria HB,Matin A,Jahan N,Islam S",A Comparative Study with Different Machine Learning Algorithms for Diabetes Disease Prediction,2021,"Diabetic is a disease that occurred when the level of blood glucose is higher than usual, which is also known as hyperglycemia. When the human body is incapable of producing enough insulin(a hormone that produces glucose from food), then this situation leads to diabetes. The rapid increase of this disease makes the researchers work much harder in this area to build a model for diagnosing diabetes efficiently. As in healthcare, the availability of data is high, so it is easy to extract information from those data to diagnose disease and develop a new model for better results. This paper aims to introduce a model that can predict diabetes efficiently with the help of machine learning algorithms. Here logistic regression, SVM, and k nearest neighbor algorithms have been used for the classification of diabetics. After data preprocessing and training, those algorithms gave a good result. Logistic regression provided the best accuracy of 83% for test data. Also, SVM and knn both performed well and showed an accuracy of 82% and 79%, respectively. The proposed model has demonstrated improved results compared with previous work. © 2021 IEEE.","Diagnosis; Glucose; Learning algorithms; Logistic regression; Motion compensation; Nearest neighbor search, Blood glucose; Comparatives studies; Diagnose disease; Extract informations; Human bodies; Hyperglycaemia; K near neighbor; Machine learning algorithms; Nearest-neighbour; Support vectors machine, Support vector machines"
"Rivera MA,Carpio JT,Vinluan AA",Identifying Latent Classes of Non-Communicable Disease Comorbidities in Clinical Laboratory Data,2021,"Non-communicable diseases (NCDs) make up 7 of the world's top 10 causes of mortality. Detecting these diseases in patient populations can allow early intervention, prevention, and management. This study is a work-in-progress that intends to identify latent classes of potential NCD comorbidities without other clinical criteria by detecting patterns in clinical laboratory data. The latent classes will be determined using Latent Class Analysis (LCA). The first phase included data extraction and preprocessing. The second phase will consist of model selection and evaluation and system development. Log-likelihood, Bayesian Information Criterion (BIC), and Akaike Information Criterion (AIC)) fit measures will be used in model selection. Model evaluation will use posterior probability and entropy scores. The chosen model will be used in a system to help identify comorbidity patterns in new patient records. Preliminary experiments on a model selection with diabetes mellitus (DM) indicators revealed three distinct latent classes, wherein one of the classes indicated its presence. The researchers hope that primary care physicians and local government health centers could use this system to tailor comorbidity treatment and management programs for their patients. Future work includes the integration of this study's results into a customized laboratory information system. © 2021 IEEE.","Clustering algorithms; Diseases; Epidemiology, Clinical laboratory data; Clusterings; Comorbidities; Laboratory datum; Latent class; Latent class analysis; Model evaluation; Model Selection; Non-communicable disease, Patient treatment"
"Karimah S,Setiawan EB,Kurniawan I",Implementation of Random Forest in Classification Model of Diabetes Prediction based on Drug Review Content,2021,"Diabetes is a disease that causes abnormally high glucose levels in the blood and is considered the main factor of damage to blood vessels. This disease can affect the heart, eyes, kidneys, and nerves and cause various complications. The risks of diabetes can be reduced with proper treatment in the early stage. Early identification of diabetes can be made by implementing a machine learning model to predict or diagnose diabetes. In this study, we utilized Random Forest (RF) to develop a classification model to predict people with diabetes. Random Forest is known as an ensemble method that combines the prediction of each basic model. The model development was performed by using drug reviews content retrieved from the UCI Machine Learning repository. The data set consists of the review and confirmed patient condition. We performed preprocessing step to obtain the important feature from the text. Then the feature extraction was done by using N-gram and term frequency-inverse document frequency (TF-IDF). We utilized six N-gram methods, i.e., unigram, bigram, trigram, unigram-bigram, bigram-trigram, and unigram-big ram-trigram. The best result of the experiments is obtained from the model developed by using a unigram feature with F-1 score is 0.952. © 2021 IEEE.","Blood; Blood vessels; Forecasting; Inverse problems; Machine learning; Random forests; Text processing, Bigrams; Classification models; Glucose level; High glucose; N-grams; Prediction-based; Random forests; Review contents; Term frequencyinverse document frequency (TF-IDF); Tri grams, Decision trees"
"Gupta S,Namdev U,Gupta V,Chheda V,Bhowmick K","Data-driven Preprocessing Techniques for Early Diagnosis of Diabetes, Heart and Liver Diseases",2021,"The emergence of machine learning in medicine has revolutionized the entire procedure of detecting and treating ailments. For knowledge extraction and decision support, machine learning models have been adapted in healthcare research. The significance of data preprocessing is often overlooked in mainstream health informatics research, which focuses more on generating accurate models. This paper focuses on building robust classification models for the prediction of diabetes, heart, and liver disease using a variety of preprocessing techniques to achieve optimal results. The implementation of the models is carried out on datasets sourced from the University of California, Irvine (UCI) Machine Learning Repository. Numerous preprocessing techniques such as feature engineering, data pruning, oversampling for skewed datasets, imputation of missing values, encoding categorical variables, and feature scaling are used in this paper. These techniques help considerably augment the performance of the classification algorithms used, which include Random Forest, K-Nearest Neighbours (KNN), and Support Vector Machine (SVM) among others. The performance of these algorithms is further improved by hyperparameter tuning, significantly improving the accuracy scores. The maximum accuracies obtained for heart disease, liver disease and diabetes prediction are 90.16%, 73% and 93.23% respectively. The paper also showcases the advantages of detection of these diseases at an early stage, which could make a substantial difference in numerous cases. The performance of different classifiers has been documented using metrics such as Accuracy, Balanced Accuracy, and F-1 score. Further visualization and comparison of the performance of the classification algorithms are carried out to find the best results. © 2021 IEEE.","Cardiology; Computer aided diagnosis; Decision support systems; Diseases; Heart; Medical informatics; Nearest neighbor search; Support vector machines, Classification algorithm; Data driven; Data preprocessing; Disease classification; Early diagnosis; Heart disease; Liver disease; Machine-learning; Performance; Pre-processing techniques, Decision trees"
"Al-Moosawi NM,Khudeyer RS",ResNet-34/DR: A Residual Convolutional Neural Network for the Diagnosis of Diabetic Retinopathy,2021,"Diabetic retinopathy (DR) is an eye complication associated with diabetes, resulting in blurred vision or blindness. The early diagnosis and treatment of DR can decrease the risk of vision loss dramatically. However, such diagnosis is a tedious and complicated task due to the variability of retinal changes across the stages of the diseases, and due to the high number of undiagnosed and untreated DR cases. In this paper, we develop a computationally efficient and scalable deep learning model using convolutional neural networks (CNN), for diagnosing DR automatically. Various preprocessing algorithms are utilized to improve accuracy, and a transfer learning strategy is adopted to speed up the process. Our experiment used the fundus image set available on online Kaggle datasets. As an ultimate conclusion of applicable performance metrics, our computational simulation achieved a relatively-high F1 score of 93.2% for stage-based DR classification. © 2021 Slovene Society Informatika. All rights reserved.","Convolution; Convolutional neural networks; Deep learning; Diagnosis; Transfer learning, Convolutional neural network; Deep learning; Diabetic retinopathy; Early diagnosis; Resnet-34; Transfer learning; Vision loss, Eye protection"
"Shen Q,Wang L",Machine Learning-Based Gynecologic Tumor Diagnosis and Its Postoperative Incisional Infection Influence Factor Analysis,2021,"Various factors influencing postoperative incisional infection in gynecologic tumors were analyzed, and the value of quality nursing intervention was studied. In this study, 74 surgically treated gynecologic tumor patients were randomly selected from within the hospital as the study population and were divided into study and control groups. For this purpose, the whole-group random sampling method is utilized to compare the postoperative incisional infection rates of the two groups, analyze their influencing factors, and develop quality nursing interventions. In this paper, a breast cancer diagnosis prediction model was developed by combining the self-attentive mechanism. The preprocessing work such as data quantification and normalization was performed first which is followed by adding the preprocessed data to the self-attentive mechanism. This model has solved the problem that recurrent neural networks (RNNs) could not extract and calculate the features at the same time. Likewise, it has solved the drawback that the RNN could not consider global features at the same time when extracting the features, and then, the feature matrix extracted by the self-attentive mechanism was added to the adaptive neural network. The adaptive neural network model for breast cancer diagnosis prediction was constructed and, finally, relevant parameters of the adaptive neural network model were adjusted according to different tasks to make the model performance optimal. Experimental results showed that the postoperative incision infection rate of patients in the study group was 2.70%, which was significantly lower than that of 21.62% in the control group (P<0.05). Likewise, operation time, operation method, hospitalization time, preoperative fever, diabetes mellitus, and anemia were the main influencing factors of postoperative incision infection in women with gynecologic tumors. The time of surgery, surgical method, long hospital stay, preoperative fever, diabetes, and anemia are the main factors that lead to postoperative incisional infection in female gynecologic tumor patients. © 2021 Qian Shen and Ling Wang.","Diagnosis; Diseases; Nursing; Recurrent neural networks; Surgery; Tumors, Adaptive neural network models; Breast cancer diagnosis; Control groups; Gynecologic tumors; Infection rates; Machine-learning; Nursing interventions; Study Groups; Tumor diagnosis; Tumor patient, Hospitals, anemia; Article; artificial neural network; breast cancer; cancer surgery; data mining; diabetes mellitus; diagnostic accuracy; female genital tract tumor; fever; hospitalization; human; incisional hernia; infection rate; length of stay; machine learning; natural language processing; operation duration; Parkinson disease; postoperative care; receiver operating characteristic; recurrent neural network; support vector machine; tumor diagnosis; controlled study; factor analysis; female; female genital tract tumor; machine learning; randomized controlled trial; retrospective study; surgical infection, Factor Analysis, Statistical; Female; Genital Neoplasms, Female; Humans; Machine Learning; Retrospective Studies; Surgical Wound Infection"
"Adelberger D,Reiterer F,Schrangl P,Ringemann C,Huschto T,Re LD",Prediction of postprandial glucose excursions in type 1 diabetes using control-oriented process models,2021,"Reliable prediction of future blood glucose (BG) values is of high relevance for diabetes patients, since it enables the use of predictive glucose alarms (warning the patient about impending situations with dangerously low or high BG), as well as of model-based algorithms for smart glucose control. Control-oriented graybox process models have proven very suitable for such tasks, especially when identified on data from clinical trials under well-defined conditions. The current paper analyzes how such models can also be reliably parametrized using outpatient data of patients on multiple daily injection (MDI) therapy. A dedicated preprocessing algorithm is presented to look for suitable (i.e. complete and sensible) data segments that allow for a reliable system identification. The focus of the current paper is on the prediction of postprandial glucose trajectories, more specifically on predictions made exactly at the time of meal ingestion. This corresponds to a particularly challenging task, but one with high importance for the model-based optimization of insulin doses. It is demonstrated that the identified process models are a suitable choice for predicting such postprandial glucose excursions. © 2021 The Authors.","Glucose; Patient treatment; Process control, 'current; Blood glucose; Diabetes patients; Gray-box models; Grey-box models; Identification; Oriented process; Process-models; Type 1 diabetes; Validation, Forecasting"
"Bernardini M,Romeo L,Mancini A,Frontoni E",A Clinical Decision Support System to Stratify the Temporal Risk of Diabetic Retinopathy,2021,"Diabetic Retinopathy (DR) is the most common and insidious microvascular complication of diabetes, and can progress asymptomatically until a sudden loss of vision occurs. Although DR is prevalent nowadays, its prevention remains challenging. The multiple aim of this study was to predict the risk of developing DR as diabetic complication (task 1) and, subsequently, temporally stratify the DR risk (task 2) using electronic health records data. To perform these objectives, a novel preprocessing procedure was designed to select both control and pathological patients, and moreover, a novel fully annotated/standardized 120K dataset from multiple diabetologic centers was provided. Globally, although the Extreme Gradient Boosting model offers satisfying predictive performance, the Random Forest model obtained the best predictive performance to solve task 1 and task 2, reaching the best Area Under the Precision-Recall Curve of 72.43 % and 84.38 %, respectively. Also the features importance extracted from the best Machine Learning (ML) models is provided. The proposed Artificial Intelligence-based solution was proven to be capable of generalizing across different diabetologic centers while ensuring high-interpretability. Moreover, the proposed ML solution is currently being adopted as a Clinical Decision Support System in several diabetologic centers for DR screening and follow-up purposes. © 2013 IEEE.","Decision support systems; Decision trees; Diagnosis; E-learning; Health risks; Machine learning; Records management; Risk assessment, Clinical decision support systems; Code; Diabetic retinopathy; Gradient boosting; Machine-learning; Microvascular; Predictive medicine; Predictive models; Predictive performance; Task analysis, Eye protection"
"Sumathi A,Meganathan S,Ravisankar BV",An Intelligent Gestational Diabetes Diagnosis Model Using Deep Stacked Autoencoder,2021,"Gestational Diabetes Mellitus (GDM) is one of the commonly occurring diseases among women during pregnancy. Oral Glucose Tolerance Test (OGTT) is followed universally in the diagnosis of GDM diagnosis at early pregnancy which is costly and ineffective. So, there is a need to design an effective and automated GDMdiagnosis and classification model. The recent developments in the field of Deep Learning (DL) are useful in diagnosing different diseases. In this view, the current research article presents a new outlier detection with deep-stacked Autoencoder (OD-DSAE) model forGDMdiagnosis and classification. The goal of the proposed OD-DSAE model is to find out those mothers with high risks and make them undergo earlier diagnosis, monitoring, and treatment compared to low-risk women. The presented ODDSAE model involves three major processes namely, preprocessing, outlier detection, and classification. In the first step i.e., data preprocessing, there exists three stages namely, format conversion, class labelling, andmissing value replacement using k-nearest neighbors (KNN) model. Outliers are superior values which considerably varies from other data observations. So, it might represent the variability in measurement, experimental errors or novelty too. So, Hierarchical Clustering (HC)-based outlier detection technique is incorporated in OD-DSAE model, and thereby classification performance can be improved. The proposed model was simulated using Python 3.6.5 on a dataset collected by the researcher themselves. A series of experiments was conducted and the results were investigated under different aspects. The experimental outcomes inferred that the OD-DSAE model has outperformed the compared methods and achieved high precision of 96.17%, recall of 98.69%, specificity of 89.50%, accuracy of 96.18%, and F-score of 97.41%. © 2021 Tech Science Press. All rights reserved.","Anomaly detection; Classification (of information); Computer aided diagnosis; Computer software; Data handling; Deep learning; Nearest neighbor search; Statistics, Auto encoders; Data classification; Deep learning; Diabetes diagnosis; Diabetes mellitus; Gestational diabetes; Gestational diabetes mellitu; Hier-archical clustering; Hierarchical Clustering; Outlier Detection, Obstetrics"
"Annamalai R,Nedunchelian R",Diabetes Mellitus Prediction and Severity Level Estimation Using OWDANN Algorithm,2021,"Today, diabetes is one of the most prevalent, chronic, and deadly diseases in the world owing to some complications. If accurate early diagnosis is feasible, the risk factor and incidence of diabetes may be greatly decreased. Diabetes prediction is stable and reliable, since there are only minimal labelling evidence and outliers found in the datasets of diabetes. Numerous works coped with diabetes disease prediction and provided the solution. But the existing methods proffered low accuracy detection and consumed more training time. So, this paper proposed an OWDANN algorithm for diabetes mellitus disease prediction and severity level estimation. The proposed system mainly consists of two phases, namely, disease prediction and severity level estimation phase. In the disease prediction phase, the preprocessing is performed for the Pima dataset. Then, the features are extracted from the preprocessed data, and finally, the classification step is performed by using OWDANN. In the severity level estimation phase, the diabetes positive dataset is preprocessed first. Then, the features are extracted, and lastly, the severity level is predicted using GDHC. The extensive experimental results showed that the proposed system outperforms with 98.97% accuracy, 94.98% sensitivity, 95.62% specificity, 97.02% precision, 93.84% recall, 9404% f-measure, 0.094% FDR, and 0.023% FPR compared with the state-of-the-art methods. © 2021 Annamalai R and Nedunchelian R.","Forecasting, Diabetes mellitus; Early diagnosis; F measure; Pre-processed data; Risk factors; State-of-the-art methods; Training time, Diagnosis"
"Ramadhan NG,Adiwijaya,Romadhony A",Preprocessing Handling to Enhance Detection of Type 2 Diabetes Mellitus based on Random Forest,2021,"Diabetes is a non-communicable disease that has a death rate of 70% in the world. Majority of diabetes cases, 90–95%, are of diabetes cases are type 2 diabetes which is caused by an unhealthy lifestyle. Type 2 diabetes can be detected earlier by using examination that contains diabetes-related parameters. However, the dataset does not always contain complete information, the distribution between positive and negative classes is mostly imbalanced, and some parameters have low importance to the decision class. To overcome the problems, this study needs to carry out preprocessing to improve detection precision and recall. In this paper, propose an approach on dataset preprocessing, which is applied to diabetes prediction. The preprocessing approach consists of the following process: missing value process, imbalanced data process, feature importance process, and data augmentation process. The data preprocessing process uses the median for missing value, random oversampling for imbalanced data, the Gini score in the random forest for feature importance, and posterior distribution for data augmentation. This research used random forest and logistic regression as classification algorithms. The experimental results show that the classification increased by 20% precision and 24% recall by applying proposed method and random forest method compared to without proposed method and random forest method. © 2021. All Rights Reserved.","Logistic regression; Random forests, Data augmentation; Data preprocessing; Diabetes mellitus; Imbalanced data; Missing values; Non-communicable disease; Random forest methods; Random forests; Type 2 diabetes mellitus; Type-2 diabetes, Decision trees"
"Chowdary PB,Kumar R.U D",An Effective Approach for Detecting Diabetes using Deep Learning Techniques based on Convolutional LSTM Networks,2021,"The most common disorder affecting millions of population worldwide due to insufficient release of insulin by pancreas is diabetes. Early detection or precaution of diabetes is necessary, otherwise leads to many complicated problems. Predicting diabetes at early stages with appropriate treatment, individuals can maintain a happy life. If the conventional diabetes detection method is tedious, the identification of diabetes from clinical and physical data requires an automated system. This paper proposes an approach to enhance diabetes prediction using deep learning techniques. Based on the Convolutional Long Short-term Memory (CLSTM), we developed a diabetes classification model and compared with the existing methods on the Pima Indians Diabetes Database (PIDD). We assessed the findings of various classification approaches in this study. The proposed approach is further improved by an efficient preprocessing mechanism called multivariate imputation by chained equations. The outcomes are promising compared to existing machine learning approaches and other research models. © 2021","Automation; Brain; Classification (of information); Convolution; Convolutional neural networks; Forecasting; Learning algorithms, Automated systems; Clinical data; Convolutional long short-term memory; Detection methods; Diabetes detection; Diabetes prediction; Effective approaches; Learning techniques; Physical data; Pre-processing, Long short-term memory"
"Jiang K,Shang Y,Wang L,Zhang Z,Zhou S,Dong J,Wu H",A framework for meaningful use of clinical decision model: A diabetic nephropathy prediction modeling based on real world data,2021,"This study aims to propose a framework for developing a sharable predictive model of diabetic nephropathy (DN) to improve the clinical efficiency of automatic DN detection in data intensive clinical scenario. Different classifiers have been developed for early detection, while the heterogeneity of data makes meaningful use of such developed models difficult. Decision tree (DT) and random forest (RF) were adopted as training classifiers in de-identified electronic medical record dataset from 6,745 patients with diabetes. After model construction, the obtained classification rules from classifier were coded in a standard PMML file. A total of 39 clinical features from 2159 labeled patients were included as risk factors in DN prediction after data preprocessing. The mean testing accuracy of the DT classifier was 0.8, which was consistent to that of the RF classifier (0.823). The DT classifier was choose to recode as a set of operable rules in PMML file that could be transferred and shared, which indicates the proposed framework of constructing a sharable prediction model via PMML is feasible and will promote the interoperability of trained classifiers among different institutions, thus achieving meaningful use of clinical decision making. This study will be applied to multiple sites to further verify feasibility. © 2021 - IOS Press. All rights reserved.","Classification (of information); Decision making; Decision trees; Diseases; Forecasting; Medical computing, Classification rules; Clinical decision making; Clinical efficiency; Data preprocessing; Diabetic nephropathy; Electronic medical record; Model construction; Predictive modeling, Predictive analytics"
"Gurcan OF,Beyca OF,Dogan O",A comprehensive study of machine learning methods on diabetic retinopathy classification,2021,"Diabetes is one of the emerging threats to public health all over the world. According to projections by the World Health Organization, diabetes will be the seventh foremost cause of death in 2030 (WHO, Diabetes, 2020. https://www.afro.who.int/healthtopics/diabetes). Diabetic retinopathy (DR) results from long-lasting diabetes and is the fifth leading cause of visual impairment, worldwide. Early diagnosis and treatment processes are critical to overcoming this disease. The diagnostic procedure is challenging, especially in low-resource settings, or time-consuming, depending on the ophthalmologist’s experience. Recently, automated systems now address DR classification tasks. This study proposes an automated DR classification system based on preprocessing, feature extraction, and classification steps using deep convolutional neural network (CNN) and machine learning methods. Features are extracted from a pretrained model by the transfer learning approach. DR images are classified by several machine learning methods. XGBoost outperforms other methods. Dimensionality reduction algorithms are applied to obtain a lowerdimensional representation of extracted features. The proposed model is trained and evaluated on a publicly available dataset. Grid search and calibration are used in the analysis. This study provides researchers with performance comparisons of different machine learning methods. The proposed model offers a robust solution for detecting DR with a small number of images. We used a transfer learning approach, which differs from other studies in the literature, during the feature extraction. It provides a data-driven, cost-effective solution, which includes comprehensive preprocessing and fine-tuning processes. © 2021 The Authors. Published by Atlantis Press B.V.","Automation; Classification (of information); Convolutional neural networks; Cost effectiveness; Deep neural networks; Diagnosis; Dimensionality reduction; Extraction; Eye protection; Feature extraction; Health risks; Transfer learning, Classification system; Cost-effective solutions; Diagnostic procedure; Dimensionality reduction algorithms; Low-resource settings; Machine learning methods; Performance comparison; World Health Organization, Learning systems"
